label,ax,ay,az,gx,gy,gz
0,-3168,-15168,-1724,3487,10891,6994
0,-3804,-15948,-1188,1534,5412,4930
0,-5680,-14668,-648,4153,5998,4141
0,-5276,-15480,464,3422,1417,2574
0,-6416,-12764,2188,5752,1544,1353
0,-7184,-14144,2280,2036,3442,1370
0,-7328,-14540,2140,-389,1627,-857
0,-6296,-15024,2208,-473,747,-337
0,-6456,-14324,1852,-1804,-69,-508
0,-6764,-14648,2632,-360,1028,24
0,-6184,-15152,1692,-1267,-1278,-1645
0,-6264,-15088,1708,322,985,-213
0,-5552,-15856,1888,1747,2319,-3180
0,-5768,-14944,1732,14,1155,-735
0,-4168,-15560,2076,1740,731,-1972
0,-5372,-15104,2020,-543,582,-2471
0,-3564,-16180,1264,2391,1226,-2956
0,-3164,-15116,3448,805,-379,-2042
